Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
2018-09-20 02:10:00,2917.2939453125,11.1043300628662,3308.04719746948,67.4448013305664
2018-09-20 02:20:00,2951.67504882812,11.1510601043701,3323.20934951563,65.496726989746
2018-09-20 02:30:00,2667.95703125,10.5346803665161,3082.16329159973,64.7417907714843
2018-09-20 02:40:00,2824.01000976562,11.0864696502685,3302.12491540462,66.9630432128906
2018-09-20 02:50:00,2665.32690429687,10.624810218811,3123.24085548102,63.3575782775878
2018-09-20 03:00:00,2657.39404296875,10.5647897720336,3096.1220406241,62.7123489379882
2018-09-20 03:10:00,2631.23803710937,10.4542398452758,3043.68807050367,65.3219833374023
2018-09-20 03:20:00,3002.7451171875,11.3798503875732,3390.6940962836,64.9593963623046
2018-09-20 03:30:00,2870.97802734375,11.1122703552246,3310.6574087467,62.0351295471191
2018-09-20 03:40:00,2348.86791992187,9.92782688140869,2746.40408178441,64.2480773925781
2018-09-20 03:50:00,3013.14404296875,11.395580291748,3394.93398090889,62.3064002990722
2018-09-20 04:00:00,3176.2080078125,11.5199499130249,3426.71101147884,57.8828506469726
2018-09-20 04:10:00,2998.76904296875,11.2048397064208,3340.06978072205,59.583080291748
2018-09-20 04:20:00,2768.79907226562,10.7245597839355,3166.26958669362,57.6971397399902
2018-09-20 04:30:00,2738.56591796875,10.6666498184204,3141.596031829,58.353759765625
2018-09-20 04:40:00,2751.54907226562,10.8112096786499,3201.63236548366,57.608959197998
2018-09-20 04:50:00,2762.65600585937,10.7261495590209,3166.93508325907,60.5431098937988
2018-09-20 05:00:00,2740.78002929687,10.7702598571777,3185.15021961111,59.268081665039
2018-09-20 05:10:00,2849.63793945312,10.9253902435302,3245.4586589427,59.8765106201171
2018-09-20 05:20:00,2915.29711914062,11.213020324707,3342.57985949246,58.0606613159179
2018-09-20 05:30:00,2660.10400390625,10.5735397338867,3100.13387001624,62.1599998474121
2018-09-20 05:40:00,2782.68310546875,10.7257795333862,3166.78024285145,61.4898490905761
2018-09-20 05:50:00,2516.44995117187,10.2871599197387,2958.10678390728,60.9096908569335
2018-09-20 06:00:00,2086.10400390625,9.47239971160888,2451.86797889025,58.5470809936523
2018-09-20 06:10:00,1972.46105957031,8.98862361907958,2136.65958609925,60.630931854248
2018-09-20 06:20:00,2224.27099609375,9.67499256134033,2572.88656127829,60.6493988037109
2018-09-20 06:30:00,2105.23095703125,9.4865379333496,2461.1495074564,60.6982498168945
2018-09-20 06:40:00,2373.919921875,10.153730392456,2884.04208956377,61.1244316101074
2018-09-20 06:50:00,2391.8740234375,10.085069656372,2843.8716736234,59.212230682373
2018-09-20 07:00:00,1913.44104003906,9.10214328765869,2210.03608618481,57.2150382995605
2018-09-20 07:10:00,1999.2080078125,9.14898490905761,2240.44446315678,57.5391082763671
2018-09-20 07:20:00,1851.56298828125,9.01019763946533,2150.56699726386,56.7752304077148
2018-09-20 07:30:00,1918.18701171875,9.05187034606933,2177.48205595764,56.0804595947265
2018-09-20 07:40:00,1849.48596191406,8.91376304626464,2088.5528160077,58.2839393615722
2018-09-20 07:50:00,1898.4150390625,8.90049457550048,2080.05210132529,58.3973808288574
2018-09-20 08:00:00,1695.89294433593,8.63327121734619,1910.79090554131,58.0578117370605
2018-09-20 08:10:00,1722.3759765625,8.71091747283935,1959.5595937162,60.6402397155761
2018-09-20 08:20:00,1732.91796875,8.72559833526611,1968.8210277178,58.9097900390625
2018-09-20 08:30:00,1590.59497070312,8.54404735565185,1855.22481368625,61.5172691345214
